4	1.5e-06
5	4.8e-06
6	1.03e-05
7	2.4e-05
8	3.91e-05
9	6.39e-05
10	9.35e-05
11	0.0001478
12	0.0002039
13	0.0002672
14	0.0003625
15	0.0004638
16	0.0006111
17	0.000754
18	0.0009383
19	0.0011541
20	0.0013781
21	0.0016549
22	0.0019948
23	0.0023631
24	0.0026957
25	0.0031551
26	0.003611
27	0.0041098
28	0.004672
29	0.0052959
30	0.0059418
31	0.0066704
32	0.0073878
33	0.0082029
34	0.0091049
35	0.00995
36	0.0108699
37	0.0119182
38	0.0129106
39	0.0139169
40	0.0150518
41	0.0161098
42	0.0173153
43	0.0183686
44	0.0194302
45	0.0205952
46	0.0216035
47	0.0226032
48	0.0235989
49	0.0245343
50	0.0254513
51	0.0262519
52	0.0269859
53	0.0276529
54	0.0280054
55	0.0284392
56	0.0286467
57	0.0287432
58	0.0288155
59	0.02864
60	0.028515
61	0.0278226
62	0.0272686
63	0.0266726
64	0.0257185
65	0.0248005
66	0.0237234
67	0.0225221
68	0.021249
69	0.01984
70	0.0184172
71	0.0170316
72	0.0155724
73	0.0140297
74	0.0125714
75	0.0111722
76	0.0098162
77	0.0084967
78	0.0072339
79	0.006124
80	0.0050982
81	0.0041431
82	0.0033101
83	0.0025704
84	0.0019939
85	0.0014998
86	0.0010798
87	0.0007384
88	0.0004854
89	0.0003213
90	0.0001863
91	0.0001063
92	5.23e-05
93	2.09e-05
94	7.8e-06
95	1.9e-06
96	1e-07
